hin_Deva,sat_Olck
"चिंता मत करो, तुम सही समय पर आई हो।","ᱟᱞᱚᱢ ᱵᱷᱟᱹᱵᱤᱫᱚᱜᱽᱼᱟ, ᱟᱢ ᱫᱚ ᱴᱷᱤᱠ ᱚᱠᱛᱚ ᱨᱮᱜᱤᱢ ᱦᱮᱡᱽᱟᱠᱟᱱᱟ ᱾"
अभी बस 5 ही मिनट हुए हैं।,᱕ ᱴᱤᱬᱤᱡᱽᱜᱤ ᱦᱩᱭᱟᱠᱟᱱᱟ ᱾
इधर आ कर बैठो।,ᱦᱤᱡᱩᱜᱽᱢᱮ ᱟᱨ ᱫᱩᱬᱩᱵᱽᱢᱮ ᱾
मैंने क्या मिस किया?,ᱤᱧ ᱫᱚ ᱪᱮᱫᱽᱤᱧ ᱦᱟᱹᱲᱤᱧᱟᱠᱟᱫᱟ ?
कुछ खास नहीं! बस राष्ट्रपति जी का राष्ट्रीय झंडा फहराना।,ᱡᱟᱹᱥᱛᱤ ᱫᱚ ᱵᱟᱝ ! ᱫᱤᱥᱚᱢ ᱜᱚᱝᱠᱮ ᱮᱠᱮᱱ ᱡᱤᱛᱤᱭᱟᱹᱨᱤ ᱪᱤᱨᱮ ᱩᱫᱟᱹᱣᱟᱠᱟᱫᱟ ᱾
और राष्ट्रपति को 21 तोपों की सलामी।,ᱟᱨ ᱒᱑ ᱜᱚᱴᱟᱝ ᱜᱟᱱ ᱥᱮᱞᱩᱴ ᱦᱚᱛᱮᱛᱮ ᱫᱤᱥᱟᱹᱢ ᱜᱚᱝᱠᱮ ᱥᱟᱢᱚᱨᱤᱠ ᱡᱚᱦᱟᱨ ᱵᱟᱰᱟᱭ ᱩᱪᱩ ᱦᱩᱭᱮᱱᱟ ᱾
"अभी आर्मी, नेवी और एयर फोर्स की अलग-अलग टुकड़ियाँ और उनके साथ उनके बैंड राजपथ पर राष्ट्रपति भवन से मार्च करते आ रहे हैं।","ᱱᱤᱛ, ᱥᱮᱱᱟᱯᱷᱟᱹᱫ, ᱫᱟᱜᱽᱯᱷᱟᱹᱫ ᱟᱨ ᱦᱚᱭᱯᱷᱟᱹᱫ ᱨᱮᱱ ᱵᱮᱜᱟᱨ ᱵᱮᱜᱟᱨ ᱨᱮᱡᱤᱢᱮᱱᱴ ᱟᱨ ᱚᱱᱟ ᱥᱟᱶᱛᱮ ᱩᱝᱠᱩᱣᱟᱜ ᱵᱮᱱᱰ, ᱨᱟᱥᱴᱨᱚᱯᱚᱛᱤᱵᱷᱚᱵᱚᱱ ᱠᱷᱚᱱ ᱨᱟᱡᱦᱚᱨ ᱞᱮᱠᱟᱛᱮ ᱯᱮᱨᱮᱰᱠᱟᱛᱮᱠᱩ ᱪᱟᱞᱟᱜᱽᱠᱟᱱᱟ ᱾"
ये लोग कहाँ जा रहे हैं?,ᱩᱝᱠᱩ ᱫᱚ ᱚᱠᱟᱛᱮᱠᱩ ᱪᱟᱞᱟᱜᱽᱠᱟᱱᱟ ?
इंडिया गेट की तरफ और अंत में लाल किला।,ᱤᱱᱰᱤᱭᱟ ᱜᱮᱴᱛᱮ ᱟᱨ ᱢᱩᱪᱟᱹᱫᱨᱮ ᱫᱚ ᱨᱮᱰᱯᱷᱳᱨᱰ ᱾
"जैसे-जैसे वे गुजरते हैं, राष्ट्रपति को सलाम करते हैं।",ᱩᱝᱠᱩ ᱫᱚ ᱢᱤᱫᱽ ᱢᱤᱫᱽᱛᱮ ᱪᱟᱞᱟᱜ ᱚᱠᱛᱮ ᱫᱤᱥᱟᱹᱢ ᱜᱚᱝᱠᱮ ᱥᱮᱡᱽ ᱢᱟᱹᱱᱠᱩ ᱮᱢᱮᱫᱽᱠᱟᱱᱟ ᱾
और देखो वे भी किस तरह खड़े हैं और उन्हें आगे मार्च करते जाने के लिए प्रोत्साहित कर रहे हैं।,ᱟᱨ ᱛᱩᱝᱠᱷᱤᱭᱢᱮ ᱪᱮᱫᱞᱮᱠᱟ ᱩᱱᱤ ᱫᱚ ᱚᱱᱟᱭ ᱟᱸᱜᱚᱡᱮᱟᱛᱮᱭ ᱛᱤᱜᱩᱱᱠᱟᱱᱟ ᱟᱨ ᱩᱝᱠᱩ ᱞᱟᱦᱟ ᱪᱟᱞᱟᱜ ᱞᱟᱹᱜᱤᱫᱽᱮ ᱩᱥᱠᱩᱨᱮᱫᱽᱠᱩᱣᱟ ᱾
काश मैं किसी दिन सामने से बैठ कर देख सकूं।,ᱤᱧ ᱡᱟᱦᱟᱸᱛᱤᱥ ᱦᱚᱲᱢᱚᱥᱟᱶᱟᱨᱟᱱᱛᱮ ᱚᱱᱟ ᱧᱮᱞ ᱥᱟᱱᱟᱧᱠᱟᱱᱟ ᱾
अलग-अलग राज्यों की प्रदर्शनी का क्या हुआ?,ᱮᱴᱟᱜᱽ ᱮᱴᱟᱜᱽ ᱯᱚᱱᱚᱛ ᱠᱩᱨᱮᱱᱟᱜ ᱦᱟᱹᱡᱤᱨ ᱨᱮᱭᱟᱜ ᱠᱷᱚᱵᱚᱨ ᱫᱚ ᱪᱮᱫᱽᱞᱮᱠᱟ ᱾
क्या वह आर्मी के मार्च पास्ट के बाद होगा?,ᱚᱱᱟ ᱫᱚ ᱪᱮᱫᱽ ᱯᱷᱟᱹᱫᱠᱩᱣᱟᱜ ᱯᱮᱨᱮᱰ ᱛᱟᱭᱚᱢ ᱦᱩᱭᱩᱜᱽᱼᱟ ?
"हाँ, जब सारी टुकड़ियाँ मार्च करके निकल जाएंगी, तब वे सब आएंगे।","ᱦᱮᱸ, ᱢᱤᱫᱽᱫᱷᱟᱣ ᱡᱚᱛᱚ ᱨᱮᱡᱤᱢᱮᱱᱴᱠᱩ ᱯᱮᱨᱮᱰ ᱪᱟᱞᱟᱜᱽ ᱛᱟᱭᱚᱢ, ᱩᱝᱠᱩ ᱫᱚ ᱠᱩ ᱥᱮᱴᱮᱨᱚᱜᱽᱼᱟ ᱾"
हर राज्य को एक झांकी में दिखाया जाएगा।,ᱢᱤᱢᱤᱫᱽ ᱯᱚᱱᱚᱛ ᱫᱚ ᱟᱠᱩᱣᱟᱜ ᱴᱮᱵᱞᱚᱣᱣᱟᱛᱮᱠᱩ ᱥᱮᱴᱮᱨᱚᱜᱽᱼᱟ ᱾
"इनमें उस विशिष्ट राज्य का इतिहास, संस्कृति, धरोहर, विकास कार्यक्रम और पर्यावरण दिखाया जाता है।","ᱩᱝᱠᱩ ᱫᱚ ᱟᱠᱩᱣᱟᱜ ᱱᱤᱡᱽ ᱱᱤᱡᱽ ᱯᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱱᱟᱜᱟᱢ, ᱞᱟᱠᱪᱟᱨ, ᱥᱮᱨᱣᱟ ᱩᱛᱷᱱᱟᱹᱣ ᱠᱟᱹᱢᱤᱦᱚᱨᱟ ᱟᱨ ᱞᱟᱭᱚᱝᱠᱩ ᱰᱩᱜᱽ ᱥᱚᱫᱚᱼᱟ ᱾"
वो अपने साथ कुछ ऐनिमेशन और साउंड भी लेकर चलते हैं।,ᱩᱝᱠᱩ ᱫᱚ ᱟᱠᱩᱥᱟᱶ ᱠᱤᱪᱷᱩ ᱮᱱᱤᱢᱮᱥᱚᱱ ᱟᱨ ᱵᱟᱡᱱᱟ ᱧᱮᱞ ᱟᱨᱠᱩ ᱩᱫᱩᱜᱮᱫᱽᱠᱟᱱ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱾
काफी रंगारंग डिस्प्ले होता है।,ᱱᱳᱣᱟ ᱫᱚ ᱟᱹᱰᱤ ᱨᱚᱝᱟᱱ ᱩᱫᱩᱜᱽᱥᱚᱫᱚᱨ ᱜᱤ ᱾
और मेरे लिए पूरी परेड का सबसे पसंदीदा भाग भी यही है।,"ᱦᱮᱸ, ᱟᱨ ᱜᱚᱴᱟ ᱯᱮᱨᱮᱰ ᱨᱮᱭᱟᱜ ᱠᱩᱥᱤᱭᱟᱱᱟᱜ ᱦᱤᱸᱥ ᱦᱚᱸ ᱠᱟᱱᱟ ᱾"
मुझे आज भी याद है पिछली बार पश्चिम बंगाल की झांकी किस तरह से सजाई गई थी।,ᱤᱧᱟᱜ ᱱᱤᱛ ᱦᱚᱸ ᱫᱤᱥᱟᱹ ᱦᱤᱡᱩᱜᱽᱠᱟᱱᱟ ᱢᱩᱪᱟᱹᱫᱽ ᱫᱷᱟᱣ ᱪᱮᱫᱽ ᱞᱮᱠᱟᱛᱮ ᱯᱚᱪᱷᱤᱢ ᱵᱟᱝᱞᱟ ᱫᱚ ᱴᱮᱵᱞᱳᱠᱩ ᱩᱫᱩᱜᱽᱥᱚᱫᱚᱨᱞᱮᱫᱟ ᱾
और उस पर ग्रामीण बंगाल का लोक नृत्य दर्शा रहे नर्तक भी।,"ᱟᱨ ᱚᱱᱟ ᱪᱮᱛᱟᱱ ᱮᱱᱮᱡᱽᱠᱟᱹᱨᱤ ᱠᱩᱣᱟᱜ ᱠᱟᱛᱷᱟ ᱦᱚᱸ, ᱡᱟᱦᱟᱸᱭ ᱫᱚ ᱟᱛᱚᱚᱲᱟᱜᱽ ᱨᱮᱭᱟᱜ ᱞᱳᱠᱳᱱᱨᱤᱛᱛᱚᱠᱩ ᱩᱫᱩᱜᱽᱥᱚᱫᱚᱨᱞᱮᱫᱟ ᱾"
"पता नहीं, इस साल क्या दिखाने वाले हैं।",ᱤᱧᱫᱚᱧ ᱦᱟᱦᱟᱲᱟᱜᱽᱠᱟᱱᱟ ᱩᱝᱠᱩ ᱫᱚ ᱟᱞᱮ ᱞᱟᱹᱜᱤᱫᱽ ᱪᱮᱫᱽᱠᱩ ᱥᱟᱡᱟᱣ ᱟᱹᱜᱩᱣᱟᱠᱟᱫᱟ ᱢᱮᱱᱛᱮ ᱾
इंतज़ार करते हैं और देखते हैं।,ᱛᱟᱹᱜᱤ ᱞᱮᱜᱮᱵᱩᱱ ᱟᱨ ᱵᱩᱱ ᱧᱮᱞᱞᱮᱜᱤ ᱾
"लेकिन भूलना मत, आज 12 बजे के करीब तुम्हारी सिट एंड ड्रॉ प्रतियोगिता भी है।","ᱢᱮᱱᱠᱷᱟᱱ ᱟᱞᱚᱢ ᱦᱤᱬᱤᱧᱟ, ᱛᱤᱦᱤᱧ ᱛᱤᱠᱤᱱ ᱑᱒ ᱵᱟᱡᱮ ᱞᱮᱠᱟ ᱫᱩᱲᱩᱵᱽᱠᱟᱛᱮ ᱟᱸᱠ ᱦᱮᱯᱮᱨᱟᱣ ᱢᱮᱱᱟᱜᱽᱛᱟᱢᱟ ᱾"
क्या तुम उसके लिए तैयार हो?,ᱟᱢ ᱫᱚ ᱚᱱᱟ ᱞᱟᱹᱜᱤᱫᱽᱮᱢ ᱥᱟᱯᱲᱟᱣ ᱜᱤᱭᱟ ?
मैंने पहले से ही स्केच बनाने का अभ्यास कर लिया है।,ᱤᱧ ᱫᱚ ᱤᱧᱟᱜ ᱥᱠᱮᱪᱠᱩᱧ ᱯᱨᱮᱠᱴᱤᱥ ᱫᱚᱦᱚᱣᱟᱠᱟᱫᱟ ᱾
मैं गणतंत्र दिवस के परेड की एक झलक ड्रा करने वाली हूँ।,ᱤᱧ ᱫᱚ ᱯᱨᱚᱡᱟᱛᱚᱱᱛᱨᱚ ᱫᱤᱵᱚᱥ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱽ ᱡᱷᱚᱞᱚᱠ ᱪᱤᱛᱟᱹᱨ ᱜᱤᱧ ᱟᱸᱠᱮᱫᱟ ᱾
काश मुझे इनाम मिल जाए।,ᱟᱥᱚᱜᱽᱠᱟᱹᱱᱟᱹᱧ ᱢᱤᱫᱴᱟᱝ ᱥᱤᱨᱯᱟᱹᱧ ᱧᱟᱢᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
इनामों के बारे में मत सोचो।,ᱥᱤᱨᱯᱟᱹ ᱵᱟᱵᱚᱫ ᱟᱞᱚᱢ ᱵᱷᱟᱹᱵᱤᱫᱚᱜᱼᱟ ᱾
वहाँ पर बस मस्त रहना।,ᱮᱠᱮᱱ ᱚᱸᱰᱮ ᱥᱮᱱᱠᱟᱛᱮ ᱟᱢᱞᱮᱠᱟ ᱨᱟᱹᱥᱠᱟᱹᱭ ᱢᱮ ᱾
मेरी शुभकामनाएं तुम्हारे साथ हैं।,ᱟᱢ ᱞᱟᱹᱜᱤᱫᱽ ᱤᱧᱟᱜ ᱛᱷᱩᱢ ᱛᱟᱦᱮᱸᱭᱮᱱᱟ ᱾
थैंक यू डैड।,"ᱵᱟᱵᱟ, ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ ᱾"
"लेकिन प्रतियोगिता के कारण परेड का जो भाग मैं मिस कर जाऊँ, उसे आप हर हाल में देखें।",ᱛᱚᱵᱮ ᱦᱮᱯᱮᱨᱟᱣ ᱞᱟᱹᱜᱤᱫᱽᱛᱮ ᱤᱧ ᱯᱮᱨᱮᱰ ᱨᱮᱭᱟᱜ ᱡᱟᱦᱟᱸ ᱦᱤᱸᱥ ᱵᱟᱹᱧ ᱧᱮᱞᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱚᱱᱟ ᱫᱚ ᱟᱢ ᱡᱟᱹᱨᱩᱲᱜᱤ ᱧᱮᱞᱢᱮ ᱵᱟᱲᱮ ᱾
रात को सोने से पहले उसके बारे में सुनूंगी।,ᱜᱤᱛᱤᱡᱽ ᱚᱠᱛᱮ ᱚᱱᱟ ᱵᱟᱵᱚᱫᱤᱧ ᱟᱸᱡᱚᱢᱟ ᱾
"हेलो, क्या यह समाधान हेल्पलाइन है?","ᱦᱮᱞᱳ, ᱱᱤᱭᱟᱹ ᱫᱚ ᱪᱮᱫᱽ ᱥᱚᱢᱟᱫᱷᱟᱱ ᱜᱚᱬᱚ ᱥᱮᱱᱴᱟᱨ ᱠᱟᱱᱟ ?"
"हाँ, मैं आपकी कैसे सहायता कर सकता हूँ?","ᱦᱮᱸ, ᱪᱮᱠᱟᱞᱮᱠᱟᱛᱮ ᱤᱧ ᱟᱢᱤᱧ ᱜᱚᱲᱚᱫᱟᱲᱮᱭᱟᱢᱟ ?"
मैं हरीश हूँ और मैं स्वामी विवेकानंद शैक्षिक संस्थान की ओर से फोन कर रहा हूँ।,"ᱤᱧ ᱫᱚ ᱦᱚᱨᱤᱥ, ᱟᱨ ᱤᱧ ᱫᱚ ᱥᱟᱢᱤ ᱵᱤᱵᱮᱠᱟᱱᱚᱱᱫᱚ ᱮᱰᱩᱠᱮᱥᱚᱱᱟᱞ ᱤᱱᱥᱴᱤᱴᱤᱭᱩᱴ ᱛᱚᱨᱚᱯᱷ ᱠᱷᱚᱱᱤᱧ ᱠᱚᱞᱮᱫ ᱠᱟᱱᱟ ᱾"
मैं साधन-सह-योग्यता छात्रवृत्ति कार्यक्रम के बारे में और जानना चाहता हूँ।,ᱤᱧ ᱫᱚ ᱢᱮᱨᱤᱴᱼᱠᱩᱢᱼᱢᱤᱱᱥ ᱥᱠᱚᱞᱟᱨᱥᱤᱯ ᱯᱨᱳᱜᱨᱟᱢ ᱵᱟᱵᱚᱫ ᱡᱟᱹᱥᱛᱤ ᱵᱟᱰᱟᱭᱤᱧ ᱠᱷᱚᱡᱽᱚᱜᱽ ᱠᱟᱱᱟ ᱾
जिससे कि मैं इस कार्यक्रम के बारे में अपने छात्रों को जानकारी दे सकूं।,ᱡᱟᱦᱟᱸᱛᱮ ᱫᱚ ᱤᱧ ᱟᱞᱮᱨᱮᱱ ᱯᱟᱹᱴᱷᱣᱟᱹᱠᱩ ᱱᱤᱭᱟᱹ ᱯᱨᱳᱜᱨᱟᱢ ᱵᱟᱵᱚᱫᱽᱧ ᱵᱟᱰᱟᱭ ᱩᱪᱩᱫᱟᱲᱮᱭᱟᱠᱩᱣᱟ ᱾
ठीक है! इस योजना का मुख्य उद्देश्य है अल्पसंख्यक समुदायों के वंचित और काबिल छात्रों को आर्थिक सहायता देना।,"ᱡᱚᱛᱚᱜᱤ ᱴᱷᱤᱠᱜᱮᱭᱟ, ᱥᱠᱤᱢ ᱨᱮᱭᱟᱜ ᱢᱩᱬᱩᱫᱽ ᱡᱚᱥ ᱫᱚ ᱞᱮᱠᱷᱟᱨᱮ ᱠᱚᱢ ᱦᱚᱲᱞᱮᱠᱷᱟ ᱠᱷᱚᱱ ᱠᱚᱢ ᱥᱩᱵᱤᱫᱷᱟ ᱧᱟᱢᱟᱱ ᱟᱨ ᱠᱷᱚᱡᱚᱜᱽᱠᱟᱱ ᱯᱟᱹᱴᱷᱣᱟᱹᱠᱩ ᱠᱟᱹᱣᱰᱤ ᱛᱮᱱᱟᱜᱽ ᱜᱚᱲᱚ ᱮᱢᱟᱠᱩᱜᱤ ᱾"
और इस छात्रवृत्ति से वे पेशेवर और तकनीकी शिक्षा पा सकेंगे।,"ᱟᱨ ᱱᱚᱣᱟ ᱥᱠᱚᱞᱟᱨᱥᱤᱯ ᱦᱚᱛᱮᱛᱮ, ᱩᱝᱠᱩ ᱫᱚ ᱯᱨᱚᱯᱷᱮᱥᱚᱱᱟᱞ ᱟᱨ ᱴᱮᱠᱱᱤᱠᱮᱞ ᱥᱤᱠᱷᱱᱟᱹᱛᱠᱩ ᱦᱟᱛᱟᱣ ᱫᱟᱲᱤᱭᱟᱜᱽᱼᱟ ᱾"
यह योजना अल्पसंख्यक कार्य मंत्रालय द्वारा शुरू की गई है।,ᱱᱤᱭᱟᱹ ᱥᱠᱤᱢ ᱫᱚ ᱢᱤᱱᱤᱥᱴᱨᱤ ᱚᱯᱷ ᱢᱟᱭᱱᱚᱨᱤᱴᱤ ᱮᱯᱷᱯᱷᱮᱭᱟᱨᱥ ᱦᱚᱛᱮᱛᱮ ᱮᱛᱚᱦᱚᱵᱽᱟᱠᱟᱱᱟ ᱾
"जी, सर।","ᱦᱮᱸ, ᱢᱟᱦᱟᱥᱚᱭ ᱾"
"क्या यह सही है कि यह छात्रवृत्ति भारत में पढ़ाई के लिए है, सर?",ᱛᱟᱦᱚᱞᱮ ᱢᱟᱦᱟᱥᱚᱭ ᱱᱤᱭᱟᱹ ᱫᱚ ᱴᱷᱤᱠ ᱡᱮ ᱵᱷᱟᱨᱚᱛᱨᱮ ᱯᱟᱬᱦᱟᱜᱽ ᱞᱟᱹᱜᱤᱫᱽᱜᱤ ᱱᱤᱭᱟᱹ ᱥᱠᱚᱞᱟᱨᱥᱤᱯ ᱫᱚ ?
हाँ। यह छात्रवृत्ति केवल उन छात्रों के लिए है जो भारत के किसी सरकारी या निजी महाविद्यालय में पढ़ रहे हैं।,ᱦᱮᱸ ᱾ ᱥᱠᱚᱞᱟᱨᱥᱤᱯ ᱫᱚ ᱵᱷᱟᱨᱚᱛᱨᱮ ᱢᱮᱱᱟᱜᱽ ᱥᱚᱨᱠᱟᱨᱤ ᱥᱮ ᱯᱨᱟᱭᱵᱷᱮᱴ ᱡᱮᱜᱮᱫᱽᱵᱤᱫᱫᱟᱹᱜᱟᱲᱨᱮ ᱯᱟᱲᱦᱟᱜᱽᱠᱟᱱ ᱯᱟᱹᱴᱷᱣᱟᱹᱠᱩᱜᱤ ᱮᱠᱮᱱᱠᱩ ᱮᱢᱚᱜᱚᱜᱽᱼᱟ ᱾
क्या यह छात्रवृत्ति केवल स्नातक के छात्रों के लिए है?,ᱱᱤᱭᱟᱹ ᱥᱠᱚᱞᱟᱨᱥᱤᱯ ᱫᱚ ᱪᱮᱫ ᱮᱠᱮᱱ ᱟᱹᱠᱤᱞᱟᱵᱷᱨᱟᱱ ᱯᱟᱹᱴᱷᱣᱟᱹᱠᱩ ᱞᱟᱹᱜᱤᱫᱽᱜᱤ ?
"नहीं, यह स्नातक एवं स्नातकोत्तर स्तर पर तकनीकी और पेशेवर पाठ्यक्रमों के लिए दी जाएगी।","ᱵᱟᱝ, ᱟᱹᱠᱤᱞᱟᱵᱷᱨᱟᱱ ᱟᱨ ᱟᱹᱠᱤᱞᱢᱟᱹᱱ ᱞᱮᱵᱮᱞ ᱨᱮᱭᱟᱜᱽ ᱴᱮᱠᱱᱤᱠᱮᱞ ᱟᱨ ᱯᱨᱚᱯᱷᱮᱥᱚᱱᱟᱞ ᱠᱳᱨᱥᱠᱩᱭ ᱠᱚᱵᱷᱟᱨᱟ ᱾"
इस छात्रवृत्ति के लिए अप्लाई करने के क्या मानदंड हैं?,ᱱᱤᱭᱟᱹ ᱥᱠᱚᱞᱟᱨᱥᱤᱯ ᱞᱟᱹᱜᱤᱫᱽ ᱟᱹᱨᱡᱤᱭ ᱨᱮᱭᱟᱜ ᱢᱟᱹᱱᱴᱷᱮᱸᱜᱟ ᱫᱚ ᱪᱮᱫᱽ ?
"जिन छात्रों को पिछली फाइनल परीक्षा में कम से कम 50% अंक या उसके समान ग्रेड हासिल हुए हैं, वे इस छात्रवृत्ति के योग्य हैं।",ᱯᱟᱹᱴᱷᱣᱟᱹᱠᱩ ᱡᱟᱦᱟᱸᱭ ᱟᱠᱩᱣᱟᱜ ᱞᱟᱦᱟᱱ ᱢᱩᱪᱟᱹᱫᱽ ᱵᱤᱰᱟᱹᱣᱨᱮ ᱠᱚᱢᱠᱟᱭᱛᱮ ᱕᱐% ᱥᱮ ᱚᱱᱟ ᱥᱚᱢᱟᱱ ᱜᱨᱮᱰᱠᱩ ᱧᱟᱢᱟᱠᱟᱫᱟ ᱩᱝᱠᱩ ᱜᱤ ᱥᱠᱚᱞᱟᱨᱥᱤᱯ ᱞᱟᱹᱜᱤᱫᱽᱠᱩ ᱡᱳᱜᱢᱟᱱᱼᱟ ᱾
"इसके साथ ही, उनके माता-पिता या अभिभावकों की सभी स्रोतों से आय रु. 2.50 लाख से ज्यादा नहीं है।","ᱟᱨᱦᱚᱸ, ᱡᱩᱫᱤ ᱩᱝᱠᱩᱨᱮᱱ ᱜᱚᱼᱵᱟᱵᱟ ᱥᱮ ᱜᱟᱨᱡᱮᱱᱟᱜᱽ ᱨᱳᱡᱜᱟᱨ ᱫᱚ ᱡᱚᱛᱚ ᱩᱛᱥᱚ ᱠᱷᱚᱱ ᱒ᱹ᱕᱐ ᱞᱟᱠᱷ ᱠᱷᱚᱱ ᱵᱟᱭ ᱡᱟᱹᱥᱛᱤᱜᱽᱼᱟ ᱾"
"सर, कितने छात्रों को एम.सी.एम दी जाएगी?","ᱢᱟᱦᱟᱥᱚᱭ, ᱛᱤᱱᱟᱹᱜᱽᱜᱟᱱ ᱯᱟᱹᱴᱷᱣᱟᱹ ᱮᱢᱥᱤᱮᱢ ᱠᱩ ᱮᱢᱚᱜᱚᱜᱽᱼᱟ ?"
"पुनरारम्भ की गई छात्रवृत्तियों के अलावा, 60,000 नई छात्रवृत्तियाँ दिए जाने का लक्ष्य है।","ᱯᱷᱨᱮᱥ ᱥᱠᱚᱞᱟᱨᱥᱤᱯ ᱥᱟᱶᱛᱮ ᱨᱤᱱᱤᱣᱟᱞ ᱥᱠᱚᱞᱟᱨᱥᱤᱯ ᱞᱮᱠᱟᱛᱮ ᱜᱩᱴᱠᱟᱛᱮ ᱖᱐,᱐᱐᱐ ᱥᱠᱚᱞᱟᱨᱥᱤᱯ ᱦᱟᱹᱴᱤᱧ ᱨᱮᱭᱟᱜᱽ ᱴᱷᱟᱬᱚᱜᱚᱴᱟᱣᱟᱠᱟᱱᱟ ᱾"
यह तो काफी बड़ी संख्या है और इससे वे छात्र लाभान्वित होंगे जिनको इसकी जरूरत है।,"ᱚᱱᱟ ᱫᱚ ᱟᱹᱰᱤ ᱢᱟᱨᱟᱝ ᱞᱮᱠᱷᱟ, ᱟᱨ ᱱᱤᱭᱟᱹ ᱫᱚ ᱯᱟᱹᱴᱷᱣᱟᱹᱠᱩ ᱞᱟᱹᱜᱤᱫᱽ ᱥᱩᱵᱤᱫᱷᱟ ᱦᱩᱭᱩᱜᱽᱼᱟ ᱡᱟᱦᱟᱸᱭ ᱠᱩ ᱫᱚ ᱞᱟᱹᱜᱛᱤᱭᱟ ᱾"
यह छात्रवृत्तियाँ अन्य छात्रों के लिए भी प्रेरणा का स्रोत हैं।,ᱱᱤᱭᱟᱹ ᱥᱠᱚᱞᱟᱨᱥᱤᱯ ᱫᱚ ᱮᱴᱟᱜᱽ ᱯᱟᱹᱴᱷᱣᱟᱹ ᱠᱩ ᱞᱟᱹᱜᱤᱫᱽ ᱩᱫᱽᱜᱟᱹᱣᱟᱱᱟᱜᱽ ᱦᱚᱸ ᱠᱟᱱᱟ ᱾
"हाँ, आप सही कह रहे हैं।","ᱦᱮᱸ, ᱟᱢ ᱫᱚᱢ ᱡᱚᱛᱷᱟᱛ ᱜᱤᱭᱟ ᱾"
"एक आरक्षण नीति भी है, यानी राज्य/केंद्र शासित प्रदेश के हर अल्पसंख्यक समुदाय की छात्राओं के लिए 30% छात्रवृत्तियाँ निर्धारित हैं।","ᱚᱸᱰᱮ ᱢᱤᱫᱴᱟᱝ ᱨᱤᱡᱟᱨᱵᱮᱥᱚᱱ ᱟᱹᱨᱤ ᱢᱮᱱᱟᱜᱽᱼᱟ, ᱚᱱᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱯᱚᱱᱚᱛ/ᱤᱭᱩᱴᱤ ᱨᱮ ᱢᱤᱢᱤᱫᱽ ᱢᱟᱭᱱᱚᱨᱤᱴᱤ ᱠᱚᱢᱤᱴᱤᱨᱮᱱ ᱛᱤᱨᱞᱟᱹ ᱦᱚᱯᱚᱱᱯᱟᱹᱴᱷᱣᱟᱹᱠᱩ ᱞᱟᱹᱜᱤᱫᱽ ᱪᱤᱱᱦᱟᱹᱣᱟᱠᱟᱱᱟ ᱾"
"ओह, यह तो बहुत ही अच्छा है।","ᱳᱦ, ᱚᱱᱟ ᱫᱚ ᱟᱹᱰᱤ ᱢᱚᱡᱽ ᱾"
यह छात्रवृत्ति कब तक चलेगी?,ᱱᱤᱭᱟᱹ ᱥᱠᱚᱞᱟᱨᱥᱤᱯ ᱫᱚ ᱛᱤᱱᱟᱹᱜᱽᱫᱤᱱ ᱛᱟᱦᱮᱸᱱᱟ ?
छात्रवृत्ति सम्पूर्ण शैक्षणिक वर्ष /पाठ्यक्रम के लिए दी जाएगी।,ᱥᱠᱚᱞᱟᱨᱥᱤᱯ ᱫᱚ ᱯᱩᱨᱟᱹ ᱮᱠᱟᱰᱮᱢᱤᱠ ᱥᱮᱨᱢᱟ/ᱠᱳᱨᱥ ᱞᱟᱹᱜᱤᱫᱽ ᱮᱢᱚᱜᱚᱜᱽᱼᱟ ᱾
"और पूरे शैक्षणिक वर्ष के लिए रखरखाव भत्ते के रूप में रु.10,000/- की एक मुश्त राशि होस्टल में रहने वालों के लिए और गैर छात्रावासी विद्यार्थियों के लिए रु.5,000/-की एक मुश्त राशि दी जाएगी।","ᱟᱨ ᱧᱮᱞᱡᱚᱛᱚᱱ ᱵᱷᱟᱛᱟ ᱞᱮᱠᱟᱛᱮ ᱦᱳᱥᱴᱮᱞᱟᱨᱠᱩ ᱞᱟᱹᱜᱤᱫᱽ ᱢᱤᱫᱽ ᱮᱠᱟᱰᱮᱢᱤᱠ ᱥᱮᱨᱢᱟᱨᱮ ᱑᱐,᱐᱐᱐/ᱼ ᱴᱟᱠᱟ ᱟᱨ ᱫᱤᱱᱟᱹᱢ ᱥᱠᱚᱞᱟᱨᱠᱩ ᱞᱟᱹᱜᱤᱫᱽ ᱕,᱐᱐᱐/ᱼ ᱴᱟᱠᱟ ᱡᱩᱲᱩ ᱛᱷᱚᱠ ᱞᱮᱠᱟᱛᱮ ᱮᱢᱚᱜᱚᱜᱽᱼᱟ ᱾"
